brand,model,model_year,milage,fuel_type,transmission,ext_col,int_col,clean_title,price,Accident_occured,Engine_capacity,Horse_Power
Land,Rover Defender X-Dynamic SE,2023,3678.0,Hybrid,Automatic,Fuji White,Black,UNKNOWN,81998.0,NO,3.0,399.037924375898
Ford,F-150 XL,2016,107000.0,E85 Flex Fuel,6-Speed A/T,White,Gray,Yes,22000.0,YES,5.0,385.0
BMW,M8 Competition,2022,5018.0,Gasoline,Automatic,–,Sakhir Orange/Black,UNKNOWN,114998.0,NO,4.4,455.51347106041976
Porsche,911 Carrera S,2010,13850.0,Gasoline,6-Speed M/T,Black,Black,Yes,71400.0,NO,3.8,385.0
Volvo,XC70 3.2,2008,46700.0,Gasoline,6-Speed A/T,White,Beige,UNKNOWN,11400.0,YES,3.2,235.0
Chrysler,300 Touring,2021,21478.0,Gasoline,Automatic,Silver Mist,Black,UNKNOWN,27798.0,NO,3.6,382.6902416955036
Honda,Insight EX,2020,64200.0,Hybrid,CVT Transmission,White,Black,Yes,20499.0,YES,1.5,151.0
Porsche,Cayman S,2006,31075.0,Gasoline,5-Speed Automatic,Black,Black / Stone Grey,Yes,36250.0,NO,3.4,306.1292899579639
Tesla,Model Y Performance,2022,25250.0,Electric,1-Speed A/T,White,White,Yes,47800.0,NO,0.0,455.0
BMW,M5 Competition,2020,35400.0,Gasoline,8-Speed A/T,Orange,Black,Yes,71950.0,NO,4.4,617.0
Audi,S4 4.2 quattro,2004,74030.0,Gasoline,6-Speed M/T,Silver,Gray,Yes,16000.0,NO,4.2,340.0
Ford,F-250 Platinum,2021,48549.0,Diesel,Automatic,Antimatter Blue Metallic,Black,UNKNOWN,69998.0,NO,6.7,493.908234319435
Kia,Seltos S,2023,5182.0,Gasoline,A/T,White,Black,Yes,32500.0,NO,2.0,146.0
RAM,ProMaster 2500 High Roof,2019,31681.0,Gasoline,A/T,White,Black,Yes,33500.0,YES,3.6,280.0
BMW,M760 M760i xDrive,2020,23430.0,Gasoline,Automatic,White,Black,UNKNOWN,80998.0,NO,6.6,503.10922838433
Mercedes-Benz,E-Class E 400,2015,30300.0,Gasoline,A/T,White,Black,Yes,29000.0,YES,3.0,329.0
Cadillac,XTS Luxury,2016,112000.0,Gasoline,A/T,Blue,Beige,Yes,14599.0,YES,3.6,304.0
INFINITI,Q50 Premium,2014,127356.0,Gasoline,7-Speed A/T,Black,Black,Yes,19990.0,YES,3.7,328.0
Volkswagen,Touareg V6 Executive,2017,50600.0,Gasoline,8-Speed A/T,Red,Brown,Yes,28890.0,YES,3.6,280.0
Chevrolet,Suburban 1500 LTZ,2011,194000.0,E85 Flex Fuel,6-Speed A/T,Black,Black,Yes,9950.0,NO,5.3,320.0
Toyota,Tundra SR5,2021,33455.0,Gasoline,6-Speed A/T,Green,Black,Yes,44750.0,NO,5.7,381.0
BMW,X1 sDrive28i,2022,43000.0,Gasoline,8-Speed A/T,Gray,Black,Yes,35750.0,NO,2.0,228.0
Mercedes-Benz,GL-Class GL 550 4MATIC,2016,46102.0,Gasoline,7-Speed A/T,Black,Beige,Yes,35300.0,NO,4.7,429.0
Cadillac,XTS Luxury,2019,59000.0,Gasoline,6-Speed A/T,Black,Black,Yes,21000.0,NO,3.6,304.0
Jaguar,XJ8 Base,2004,134000.0,Gasoline,6-Speed A/T,Black,Beige,Yes,9500.0,YES,4.2,294.0
Chevrolet,Camaro ZL1,2020,3715.0,Gasoline,A/T,Black,Black,Yes,150000.0,NO,6.2,650.0
Mercedes-Benz,Sprinter 2500,2012,100245.0,Diesel,A/T,White,–,Yes,24000.0,YES,3.0,188.0
Mercedes-Benz,C-Class C 300 4MATIC,2022,8583.0,Gasoline,9-Speed Automatic,Cirrus Silver Metallic,AMG Black,UNKNOWN,42999.0,NO,2.0,343.1398969842521
Dodge,Dakota SLT,2003,141800.0,Gasoline,A/T,Red,Gray,Yes,5700.0,YES,4.7,230.0
Audi,A5 2.0T Premium Plus,2012,77000.0,Gasoline,8-Speed A/T,White,Black,Yes,13800.0,NO,2.0,211.0
Audi,A5 2.0T Premium,2018,67035.0,Gasoline,Transmission w/Dual Shift Mode,Pink,Brown,Yes,31500.0,YES,2.0,252.0
Audi,S5 3.0 Premium Plus,2012,61450.0,Gasoline,7-Speed A/T,White,Gray,Yes,19500.0,NO,3.0,333.0
Porsche,Panamera GTS,2015,39500.0,Gasoline,Transmission w/Dual Shift Mode,Black,Black,Yes,52590.0,NO,4.8,440.0
Mercedes-Benz,AMG GT C,2020,6600.0,Gasoline,Transmission w/Dual Shift Mode,Black,Beige,Yes,128900.0,NO,4.0,550.0
Chevrolet,Camaro 2SS,2023,2300.0,Gasoline,6-Speed M/T,Red,Black,Yes,51500.0,NO,6.2,455.0
Audi,Q7 Premium Plus,2023,10601.0,Hybrid,Automatic,Mythos Black,Black,UNKNOWN,61998.0,NO,3.0,387.7564424324064
Maserati,GranTurismo MC,2018,18000.0,Gasoline,Transmission w/Dual Shift Mode,Red,Black,Yes,67000.0,NO,4.7,454.0
GMC,Sierra 2500 AT4,2022,31681.0,Gasoline,Automatic,Cayenne Red Tintcoat,Jet Black,UNKNOWN,67963.0,YES,6.6,502.41425762451036
Cadillac,XT6 Sport AWD,2020,24114.0,Gasoline,9-Speed Automatic,Garnet Red Metallic,Jet Black,UNKNOWN,49427.0,YES,3.6,384.78938562598523
Jeep,Grand Cherokee L Laredo,2022,22109.0,Gasoline,Automatic,Bright White Clearcoat,Global Black,UNKNOWN,43389.0,YES,3.6,391.5035497022218
Chevrolet,Avalanche 1500 LT,2012,148000.0,E85 Flex Fuel,A/T,Black,Black,Yes,18000.0,NO,5.3,320.0
BMW,M5 Base,2018,41000.0,Gasoline,Transmission w/Dual Shift Mode,White,White,Yes,60200.0,NO,4.4,600.0
Nissan,Titan SE,2009,127600.0,E85 Flex Fuel,A/T,Brown,Gray,Yes,19500.0,NO,5.6,317.0
Dodge,Ram 1500 SRT-10 Quad Cab,2005,138450.0,Gasoline,4-Speed A/T,Red,Black,Yes,19000.0,YES,8.3,500.0
GMC,Sierra 1500 SLT,2013,230000.0,E85 Flex Fuel,A/T,White,Black,Yes,15500.0,NO,5.3,315.0
Lexus,RX 350 F Sport,2017,53649.0,Gasoline,A/T,Black,Red,Yes,33000.0,NO,3.5,295.0
Mercedes-Benz,GL-Class GL 450 4MATIC,2012,174000.0,Gasoline,7-Speed A/T,Black,Black,Yes,11999.0,YES,4.6,335.0
INFINITI,QX80 Luxe,2022,49860.0,Gasoline,Automatic,Black Obsidian,Graphite,Yes,47645.0,YES,5.6,450.9616831442763
Mercedes-Benz,AMG C 63 S,2021,13650.0,Gasoline,9-Speed A/T,Blue,Black,Yes,75000.0,NO,4.0,503.0
BMW,528 i xDrive,2016,134000.0,Gasoline,A/T,Brown,Brown,Yes,13500.0,YES,2.0,240.0
Porsche,911 Carrera,2014,78000.0,Gasoline,Transmission w/Dual Shift Mode,Brown,Brown,Yes,68000.0,NO,3.4,350.0
Porsche,Boxster S,2005,65750.0,Gasoline,A/T,Blue,Gray,Yes,21750.0,NO,3.2,280.0
BMW,X6 M Base,2021,18000.0,Gasoline,8-Speed A/T,Black,Black,Yes,94000.0,NO,4.4,600.0
Ford,Mustang Premium,2007,121630.0,Gasoline,A/T,White,Black,Yes,9450.0,NO,4.0,210.0
Rivian,R1S Launch Edition,2023,4500.0,Electric,1-Speed A/T,Silver,Gray,Yes,89999.0,NO,0.0,835.0
Volvo,XC90 Recharge Plug-In Hybrid T8 Inscription 7 Passenger,2022,9408.0,Hybrid,8-Speed Automatic,Black,Gray,UNKNOWN,61999.0,NO,2.0,348.6503793498159
BMW,528 i xDrive,2016,120000.0,Gasoline,A/T,White,White,Yes,16000.0,NO,2.0,240.0
Cadillac,Escalade ESV Platinum,2016,168600.0,Gasoline,8-Speed A/T,White,Beige,Yes,29500.0,NO,6.2,420.0
Chevrolet,Corvette Base,2004,43705.0,Gasoline,6-Speed M/T,Gray,Black,Yes,25900.0,NO,5.7,350.0
Audi,A5 2.0T Premium,2013,111000.0,Gasoline,Transmission w/Dual Shift Mode,Blue,Beige,Yes,11500.0,NO,2.0,211.0
Audi,TT 2.0T Premium,2012,64549.0,Gasoline,Transmission w/Dual Shift Mode,Silver,Black,Yes,17000.0,NO,2.0,211.0
Buick,LaCrosse CX,2007,53000.0,Gasoline,4-Speed A/T,Red,Gray,Yes,6500.0,NO,3.8,200.0
Chevrolet,Camaro 2SS,2017,13465.0,Gasoline,8-Speed A/T,White,Black,Yes,44900.0,NO,6.2,455.0
Tesla,Model Y Long Range,2023,5844.0,Electric,A/T,White,Black,Yes,52000.0,NO,0.0,425.0
BMW,M3 Base,2015,74000.0,Gasoline,M/T,Gray,Black,Yes,40000.0,NO,3.0,425.0
Kia,Optima LX,2011,100331.0,Gasoline,A/T,Red,–,Yes,6900.0,YES,2.4,200.0
Toyota,Supra 3.0 Premium,2022,24850.0,Gasoline,A/T,Black,Black,Yes,53568.0,NO,3.0,382.0
Lincoln,Nautilus Reserve,2021,17467.0,Gasoline,8-Speed Automatic,Pristine White,Slate,UNKNOWN,43860.0,NO,2.0,333.8715998714015
Nissan,Pathfinder SL,2015,115000.0,Gasoline,A/T,Gray,Black,Yes,11995.0,NO,3.5,260.0
BMW,X5 xDrive50i,2015,72000.0,Gasoline,Transmission w/Dual Shift Mode,Black,Brown,Yes,26500.0,YES,4.4,445.0
Mazda,MazdaSpeed3 Grand Touring,2008,162000.0,Gasoline,6-Speed M/T,Black,Black,Yes,6500.0,YES,2.3,263.0
GMC,Yukon XL SLT,2017,47589.0,Gasoline,A/T,Black,Black,Yes,45500.0,NO,5.3,355.0
Toyota,bZ4X Limited,2023,6548.0,Electric,Automatic,Wind Chill Pearl,Black,UNKNOWN,41999.0,NO,0.0,275.8422642823625
RAM,ProMaster 2500 High Roof,2018,10339.0,Gasoline,6-Speed A/T,White,Gray,Yes,36990.0,NO,3.6,280.0
RAM,1500 Classic SLT,2021,32092.0,Gasoline,8-Speed Automatic,Patriot Blue Pearlcoat,Black,Yes,35113.0,NO,3.6,380.2972083562563
Lexus,GS 350 Base,2014,85275.0,Gasoline,Automatic,Nebula Gray Pearl,Black,UNKNOWN,23998.0,YES,3.5,313.9826311366778
Hyundai,Tucson Limited,2016,138000.0,Gasoline,7-Speed A/T,Brown,Beige,Yes,10990.0,NO,1.6,175.0
Chevrolet,SSR Base,2003,87500.0,Gasoline,A/T,Red,Black,Yes,16999.0,NO,5.3,300.0
Maserati,GranTurismo Base,2013,34920.0,Gasoline,6-Speed A/T,Gray,Brown,Yes,38900.0,NO,4.7,440.0
Tesla,Model X Performance,2020,27224.0,Electric,1-Speed Automatic,Black,Black,UNKNOWN,65999.0,NO,0.0,262.85637944206064
BMW,M2 Base,2018,25000.0,Gasoline,7-Speed A/T,Black,Black,Yes,52000.0,NO,3.0,365.0
Tesla,Model Y Long Range,2021,14642.0,Electric,A/T,Red,Black,Yes,48500.0,NO,0.0,425.0
Subaru,Outback 2.5i Limited,2015,162000.0,Gasoline,CVT Transmission,Gray,Black,Yes,13999.0,NO,2.5,175.0
Buick,Roadmaster Estate,1996,119500.0,Gasoline,4-Speed A/T,White,Beige,Yes,16999.0,YES,5.7,260.0
Land,Rover Range Rover 5.0L Supercharged,2017,101800.0,Gasoline,A/T,Silver,Black,Yes,36500.0,NO,5.0,510.0
Ford,Expedition Max XLT,2021,84351.0,Gasoline,10-Speed Automatic,Blue,Ebony,Yes,42691.0,NO,3.5,353.44576509727995
Nissan,Leaf SL,2012,26930.0,Electric,1-Speed A/T,White,Beige,Yes,6700.0,NO,0.0,107.0
Toyota,Tacoma TRD Pro,2019,40698.0,Gasoline,6-Speed,Super White,Black,UNKNOWN,42886.0,NO,3.5,364.66095997550474
Mercedes-Benz,AMG GT 63 S 4-Door,2020,40000.0,Gasoline,9-Speed A/T,Black,Red,Yes,112500.0,NO,4.0,630.0
BMW,230 i,2019,30000.0,Gasoline,8-Speed A/T,Blue,Beige,Yes,29000.0,YES,2.0,248.0
Lexus,ES 350 Base,2007,78980.0,Gasoline,6-Speed A/T,Silver,Beige,Yes,10600.0,YES,3.5,272.0
Porsche,911 Carrera S Cabriolet,2007,28844.0,Gasoline,6-Speed Manual,White,Beige,UNKNOWN,69995.0,YES,3.8,337.7310406369106
Porsche,Taycan Turbo,2020,21028.0,Electric,Single-Speed Fixed Gear,BLACK,BEIGE,UNKNOWN,96900.0,NO,0.0,275.85959983172324
Maserati,Levante Modena,2023,5409.0,Gasoline,8-Speed Automatic,Blu,Black,Yes,88950.0,NO,3.0,400.15616080534164
Dodge,Challenger SRT Hellcat,2020,12700.0,Gasoline,8-Speed A/T,Black,Black,Yes,69900.0,YES,6.2,717.0
Mazda,Mazda6 Touring,2021,19000.0,Gasoline,A/T,Blue,Black,UNKNOWN,25900.0,YES,2.5,187.0
Audi,S4 3.0T Premium,2019,12000.0,Gasoline,A/T,Black,Black,Yes,48000.0,NO,3.0,349.0
Ford,Mustang GT Premium,2016,25717.0,Gasoline,6-Speed M/T,Black,Black,Yes,33900.0,NO,5.0,435.0
Tesla,Model Y Long Range,2022,12055.0,Electric,A/T,Blue,Black,Yes,44400.0,NO,0.0,425.0
Audi,TTS 2.0T Premium Plus,2011,69700.0,Gasoline,6-Speed A/T,Orange,–,Yes,23000.0,YES,2.0,265.0
BMW,M2 Competition,2020,25013.0,Gasoline,7-Speed A/T,Black,Black,Yes,55000.0,NO,3.0,405.0
Audi,Q4 e-tron Sportback Premium,2023,1156.0,Electric,A/T,Blue,Black,Yes,54900.0,NO,0.0,295.0
BMW,740 i,2016,57939.0,Gasoline,8-Speed A/T,Gray,Black,Yes,27500.0,NO,3.0,320.0
Mercedes-Benz,AMG GLE 43 Coupe 4MATIC,2018,52694.0,Gasoline,Transmission w/Dual Shift Mode,Gray,Black,Yes,49999.0,NO,3.0,385.0
Mercedes-Benz,S-Class S 550 4MATIC,2015,54000.0,Gasoline,7-Speed A/T,White,Beige,Yes,37000.0,NO,4.7,449.0
Honda,S2000 Base,2002,110500.0,Gasoline,6-Speed M/T,Yellow,Red,Yes,27000.0,NO,2.0,240.0
Chevrolet,Corvette Base,2000,97500.0,Gasoline,6-Speed M/T,Yellow,Black,Yes,10000.0,NO,5.7,345.0
Chevrolet,Colorado Z71,2020,20909.0,Gasoline,Automatic,Red,Jet Black,Yes,35387.0,NO,3.6,382.25390674557275
Mercedes-Benz,S-Class S 63 AMG,2013,77648.0,Gasoline,7-Speed A/T,Silver,Black,Yes,40000.0,NO,5.5,536.0
Bentley,Continental GTC Base,2013,79422.0,Gasoline,8-Speed A/T,Black,Black,Yes,64000.0,NO,6.0,616.0
GMC,Sierra 2500 SLE H/D Extended Cab,2002,53850.0,Gasoline,A/T,Silver,Gray,Yes,16900.0,YES,8.1,340.0
Audi,SQ5 3.0T Premium,2020,21832.0,Gasoline,8-Speed A/T,Blue,Black,Yes,42000.0,NO,3.0,349.0
Toyota,Corolla iM Base,2017,41932.0,Gasoline,6-Speed M/T,Black,Black,Yes,18700.0,NO,1.8,137.0
GMC,Yukon XL SLT,2017,110000.0,Gasoline,A/T,Blue,Black,Yes,34999.0,YES,5.3,355.0
Toyota,Tundra 1794,2020,67400.0,Gasoline,A/T,Black,Brown,Yes,47500.0,NO,5.7,381.0
Subaru,WRX Premium,2017,62662.0,Gasoline,M/T,Red,Black,Yes,24000.0,YES,2.0,268.0
Subaru,WRX Base,2015,102000.0,Gasoline,M/T,White,Black,Yes,18000.0,YES,2.0,268.0
INFINITI,Q50 Premium,2014,79785.0,Gasoline,7-Speed A/T,Red,White,Yes,16488.0,YES,3.7,328.0
Chevrolet,Suburban Premier,2017,166549.0,Gasoline,6-Speed A/T,White,Beige,Yes,24950.0,YES,5.3,355.0
Toyota,Sequoia Limited,2006,190656.0,Gasoline,A/T,Black,Gray,Yes,8900.0,YES,4.7,273.0
Dodge,Challenger R/T Scat Pack,2016,7928.0,Gasoline,6-Speed M/T,Red,Red,Yes,37500.0,NO,3.5,367.2659514519073
Porsche,Cayenne GTS,2009,135606.0,Gasoline,Transmission w/Dual Shift Mode,Black,Black,Yes,15000.0,NO,4.8,405.0
Kia,Telluride S,2023,14700.0,Gasoline,8-Speed A/T,Blue,Black,Yes,39900.0,NO,3.8,291.0
Mercedes-Benz,AMG E 63 S 4MATIC,2019,12985.0,Gasoline,9-Speed A/T,Gray,Black,Yes,96000.0,YES,4.0,603.0
BMW,Z4 sDrive35is,2014,4200.0,Gasoline,Transmission w/Dual Shift Mode,White,Red,Yes,64995.0,NO,3.0,335.0
Subaru,Impreza 2.0i Sport,2017,44000.0,Gasoline,5-Speed M/T,Red,Black,Yes,23500.0,NO,2.0,152.0
Dodge,Dart SE,2015,66000.0,Gasoline,6-Speed M/T,Black,Black,Yes,12000.0,NO,2.0,160.0
Land,Rover Range Rover P525 Westminster,2021,17945.0,Gasoline,8-Speed Automatic,Santorini Black Metallic,Ebony,UNKNOWN,89900.0,NO,5.0,456.2896197646696
Nissan,370Z Base,2013,106700.0,Gasoline,6-Speed M/T,Red,Black,Yes,17500.0,NO,3.7,332.0
Cadillac,Escalade ESV Luxury,2020,120000.0,Gasoline,10-Speed A/T,Black,Black,Yes,55000.0,NO,6.2,420.0
Mercedes-Benz,E-Class E 350,2012,59600.0,Gasoline,Transmission w/Dual Shift Mode,White,Beige,Yes,19900.0,NO,3.5,302.0
Kia,Optima Hybrid EX,2012,117220.0,Hybrid,A/T,Black,Black,Yes,8900.0,NO,2.4,206.0
Chevrolet,Silverado 3500 LTZ,2022,85200.0,Diesel,10-Speed A/T,Silver,Gray,Yes,67500.0,NO,6.6,445.0
Volkswagen,Golf GTI 2.0T SE 4-Door,2018,63450.0,Gasoline,6-Speed M/T,White,Black,Yes,24325.0,NO,2.0,220.0
Dodge,Ram 1500 SRT-10,2004,73000.0,Gasoline,6-Speed M/T,Black,Gray,Yes,22500.0,NO,8.3,500.0
Scion,tC Anniversary Edition,2014,115000.0,Gasoline,6-Speed M/T,Silver,Silver,Yes,11495.0,NO,2.5,179.0
Land,Rover Range Rover 5.0L Supercharged Autobiography,2016,56000.0,Gasoline,8-Speed A/T,Black,Brown,Yes,49900.0,NO,5.0,510.0
Lexus,LS 500 Base,2018,67296.0,Gasoline,"Automatic, 10-Spd",–,–,UNKNOWN,40900.0,NO,3.5,347.03471845175227
Chevrolet,Suburban 1500 LT,2015,179200.0,Gasoline,6-Speed A/T,Black,–,Yes,16000.0,YES,5.3,355.0
Maserati,GranTurismo Base,2015,28000.0,Gasoline,6-Speed A/T,White,Red,Yes,44999.0,NO,4.7,444.0
Porsche,911 Carrera Turbo,2003,155000.0,Gasoline,6-Speed M/T,Black,Black,Yes,55000.0,NO,3.6,415.0
Hyundai,Sonata Hybrid Base,2012,154000.0,Hybrid,A/T,Green,Gray,Yes,8500.0,YES,2.4,206.0
Cadillac,CTS Luxury,2012,62500.0,Gasoline,6-Speed A/T,Red,Beige,Yes,18955.0,YES,3.0,270.0
BMW,323 Ci,2000,177700.0,Gasoline,5-Speed A/T,Silver,Black,Yes,2500.0,NO,2.5,170.0
Tesla,Model 3 Standard Range Plus,2019,83700.0,Electric,A/T,Black,Black,Yes,26000.0,YES,0.0,216.20848701619798
Chevrolet,1500 Cheyenne Extended Cab,1995,120000.0,Gasoline,4-Speed A/T,White,Brown,Yes,6500.0,YES,3.5,205.6066344868923
Nissan,370Z Touring,2012,65000.0,Gasoline,6-Speed M/T,Gray,Black,Yes,21500.0,NO,3.7,332.0
Mercedes-Benz,GLS 450 Base 4MATIC,2018,62808.0,Gasoline,Automatic,Black,–,UNKNOWN,38598.0,YES,3.0,331.76561480252167
Ford,Mustang GT Premium,2021,3000.0,Gasoline,6-Speed M/T,Red,Black,Yes,49500.0,NO,5.0,460.0
Audi,Q5 2.0T Premium,2012,119000.0,Gasoline,A/T,Gray,–,Yes,12000.0,NO,2.0,211.0
RAM,2500 Big Horn,2013,198868.0,Diesel,6-Speed A/T,Brown,Beige,Yes,25000.0,NO,6.7,350.0
Dodge,Ram 1500 ST,2011,188000.0,Gasoline,A/T,Silver,Black,Yes,8500.0,YES,3.7,210.0
Mercedes-Benz,C-Class C 300 4MATIC Sport,2013,157405.0,Gasoline,A/T,Black,Black,Yes,10750.0,NO,3.5,248.0
Dodge,Challenger SRT Hellcat,2016,8228.0,Gasoline,8-Speed A/T,Blue,Black,Yes,62500.0,NO,6.2,707.0
Land,Rover Range Rover 3.0L Supercharged HSE,2018,73101.0,Gasoline,A/T,Blue,Beige,Yes,42950.0,NO,3.0,380.0
BMW,M4 Base,2018,10950.0,Gasoline,6-Speed M/T,White,White,Yes,60995.0,NO,3.0,425.0
Mercedes-Benz,S-Class S 560 4MATIC,2018,63160.0,Gasoline,A/T,Black,–,Yes,47000.0,YES,4.0,463.0
Land,Rover Range Rover 5.0L V8 Supercharged,2019,31866.0,Gasoline,"Automatic, 8-Spd",–,–,UNKNOWN,68900.0,NO,5.0,432.9186046097584
Chevrolet,Express 3500 Base,2009,75000.0,Gasoline,A/T,White,Gray,Yes,18900.0,NO,6.0,319.0
Toyota,4Runner TRD Pro,2016,98000.0,Gasoline,A/T,Black,Black,Yes,36000.0,YES,4.0,270.0
Mazda,MX-5 Miata Grand Touring,2012,33576.0,Gasoline,6-Speed M/T,Red,Beige,Yes,18900.0,NO,2.0,167.0
Volkswagen,Touareg VR6 Lux,2012,123200.0,Gasoline,A/T,Gray,Beige,Yes,12449.0,YES,3.6,280.0
Jaguar,XJ Base,2013,112000.0,Gasoline,A/T,Blue,White,Yes,8800.0,NO,3.0,340.0
Chevrolet,Camaro 2SS,2010,68000.0,Gasoline,6-Speed A/T,Gray,Gray,Yes,19500.0,YES,6.2,426.0
INFINITI,G37 x,2012,120000.0,Gasoline,Transmission w/Dual Shift Mode,Red,Black,Yes,14500.0,YES,3.7,328.0
BMW,X6 xDrive50i,2019,45000.0,Gasoline,8-Speed A/T,Silver,Black,Yes,46999.0,YES,4.4,445.0
Chevrolet,Camaro LT1,2022,6700.0,Gasoline,10-Speed A/T,Gray,Black,Yes,39500.0,NO,6.2,455.0
Porsche,Taycan Base,2021,6785.0,Electric,2-Speed Automatic,Gentian Blue Metallic,Black,UNKNOWN,108900.0,NO,0.0,291.6939942953486
Mercedes-Benz,S-Class S 63 AMG,2015,40900.0,Gasoline,7-Speed A/T,White,–,Yes,59750.0,NO,5.5,577.0
Cadillac,Escalade ESV Premium Luxury,2018,74150.0,Gasoline,10-Speed A/T,Gold,Brown,Yes,45000.0,NO,6.2,420.0
Toyota,Camry Hybrid XLE,2014,94448.0,Hybrid,A/T,Silver,Gray,Yes,15999.0,NO,2.5,200.0
Audi,A6 3.0T Prestige,2015,108000.0,Gasoline,Transmission w/Dual Shift Mode,Black,Brown,Yes,19998.0,NO,3.0,310.0
BMW,X5 M Base,2012,118000.0,Gasoline,Transmission w/Dual Shift Mode,White,Orange,Yes,17000.0,YES,4.4,555.0
Jaguar,F-PACE SVR,2020,38800.0,Gasoline,Transmission w/Dual Shift Mode,Black,Black,Yes,57500.0,NO,5.0,550.0
BMW,740 i,2017,55000.0,Gasoline,Transmission w/Dual Shift Mode,White,Black,Yes,40000.0,NO,3.0,320.0
BMW,M340 i xDrive,2021,34967.0,Hybrid,8-Speed A/T,Blue,Beige,Yes,49999.0,YES,3.0,382.0
Jeep,Wrangler Unlimited Sport,2016,85325.0,Gasoline,5-Speed A/T,Black,Black,Yes,30000.0,NO,3.6,285.0
RAM,2500 Tradesman,2018,63750.0,Gasoline,6-Speed A/T,Gray,Gray,Yes,36000.0,NO,6.4,410.0
Ford,Mustang V6,2016,87248.0,Gasoline,6-Speed A/T,Black,Black,Yes,19999.0,NO,3.7,300.0
BMW,328 i,1997,206000.0,Gasoline,5-Speed M/T,Red,Black,Yes,15900.0,YES,2.8,190.0
Mercedes-Benz,GL-Class GL 450,2011,112854.0,Gasoline,7-Speed A/T,White,Black,Yes,11999.0,NO,4.7,335.0
Rivian,R1S Adventure Package,2023,1150.0,Electric,A/T,Green,Black,Yes,96850.0,NO,0.0,835.0
Tesla,Model Y Long Range,2023,10000.0,Electric,A/T,Blue,Black,Yes,48000.0,NO,0.0,425.0
Mercedes-Benz,E-Class E 350,2022,14100.0,Gasoline,9-Speed A/T,Gray,Black,Yes,53000.0,NO,2.0,255.0
BMW,X7 xDrive40i,2023,14360.0,Hybrid,8-Speed A/T,Black,Black,Yes,85495.0,NO,3.0,375.0
Chevrolet,Trailblazer RS,2023,10000.0,Gasoline,9-Speed A/T,Blue,Black,Yes,32000.0,NO,1.3,155.0
Chevrolet,Suburban 1500 LTZ,2015,217500.0,Gasoline,A/T,Black,Black,Yes,20000.0,NO,5.3,355.0
Chevrolet,Suburban Premier,2021,73846.0,Gasoline,10-Speed Automatic,Midnight Blue Metallic,Jet Black,Yes,60995.0,NO,5.3,429.49829511673124
Jeep,Gladiator Overland,2020,40000.0,Gasoline,Transmission w/Dual Shift Mode,Gray,Black,Yes,45000.0,NO,3.6,285.0
GMC,Yukon XL AT4,2023,9980.0,Gasoline,10-Speed A/T,Black,Black,Yes,82000.0,NO,5.3,355.0
Mazda,Mazda6 Grand Touring Reserve,2019,41997.0,Gasoline,6-Speed A/T,Black,Black,Yes,24995.0,NO,2.5,227.0
Alfa,Romeo Giulia Ti,2021,2000.0,Gasoline,8-Speed A/T,Blue,Brown,Yes,39000.0,NO,2.0,280.0
Mercedes-Benz,CLA-Class CLA 250,2016,42750.0,Gasoline,Transmission w/Dual Shift Mode,Black,Black,Yes,22999.0,YES,2.0,208.0
BMW,330 330i xDrive,2019,19473.0,Gasoline,Automatic,Alpine White,Canberra Beige,UNKNOWN,31698.0,NO,3.5,373.723311554033
Volkswagen,Beetle 2.0T S,2019,35340.0,Gasoline,A/T,Black,Gray,Yes,23000.0,NO,2.0,174.0
Mercedes-Benz,CLK-Class CLK 350,2008,93000.0,Gasoline,7-Speed A/T,White,Beige,Yes,12000.0,YES,3.5,268.0
Audi,RS 7 4.0T Prestige,2014,66150.0,Gasoline,8-Speed A/T,White,Black,Yes,47995.0,YES,4.0,560.0
Volvo,XC60 Recharge Plug-In Hybrid T8 Inscription,2022,19352.0,Plug-In Hybrid,8-Speed A/T,Blue,Beige,Yes,54599.0,NO,2.0,455.0
Land,Rover Range Rover Supercharged LWB,2020,81000.0,Gasoline,A/T,Black,Black,Yes,64800.0,NO,5.0,518.0
Toyota,Sequoia Limited,2011,183000.0,Gasoline,6-Speed A/T,Gold,Beige,Yes,16000.0,NO,5.7,381.0
Jeep,Wrangler X,2004,44000.0,Gasoline,M/T,Green,Green,Yes,24999.0,YES,4.0,190.0
Audi,S5 3.0T Premium,2021,18100.0,Gasoline,8-Speed A/T,Gray,Gray,Yes,51800.0,NO,3.0,349.0
Land,Rover Range Rover Sport Supercharged,2011,40000.0,Gasoline,Transmission w/Dual Shift Mode,Blue,Brown,Yes,20000.0,YES,5.0,510.0
Mercedes-Benz,Sprinter 2500,2011,120000.0,Diesel,5-Speed A/T,Black,Gray,Yes,31999.0,NO,3.0,188.0
Toyota,Sequoia Platinum,2023,325.0,Hybrid,10-Speed A/T,Blue,Gray,Yes,84997.0,NO,3.4,437.0
Maserati,Quattroporte S GranLusso,2017,55000.0,Gasoline,A/T,Blue,Black,Yes,39100.0,NO,3.0,405.0
Toyota,Land Cruiser Base,1996,233000.0,Gasoline,A/T,Blue,Gray,Yes,7500.0,NO,3.5,151.9841373762829
Lamborghini,Aventador SVJ Base,2021,6987.0,Gasoline,7-Speed,–,Nero Ade,Yes,749950.0,NO,6.5,745.4446039068207
Ford,Mustang Bullitt,2019,48500.0,Gasoline,6-Speed M/T,Black,Black,Yes,44999.0,YES,5.0,480.0
